"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","CAMEOCodeDescription","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_ADM2Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_ADM2Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_ADM2Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719897579,20170105,201701,2017,2017.0137,"CHN","CHINA","CHN","","","","","","","","AUS","AUSTRALIA","AUS","","","","","","","",0,90," Investigate, not specified below",90,9,2,-2,4,1,4,-0.51948051948052,1,"China","CH","CH","",35,105,"CH",1,"Australia","AS","AS","",-25,135,"AS",1,"Australia","AS","AS","",-25,135,"AS",20180105001500,"https://macaudailytimes.com.mo/mh370-sub-equipped-ship-departs-south-africa-search-missing-plane.html"
719897580,20170105,201701,2017,2017.0137,"CHN","CHINA","CHN","","","","","","","","AUS","AUSTRALIA","AUS","","","","","","","",0,90," Investigate, not specified below",90,9,2,-2,1,1,1,-0.51948051948052,1,"Malaysia","MY","MY","",2.5,112.5,"MY",1,"China","CH","CH","",35,105,"CH",1,"Australia","AS","AS","",-25,135,"AS",20180105001500,"https://macaudailytimes.com.mo/mh370-sub-equipped-ship-departs-south-africa-search-missing-plane.html"
719898343,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,40," Consult, not specified below",40,4,1,1,2,1,2,-0.65789473684211,4,"Bayuquan, Liaoning, China","CH","CH19","13184",40.2722,122.117,"-1898370",0,"","","","",NA,NA,"",4,"Bayuquan, Liaoning, China","CH","CH19","13184",40.2722,122.117,"-1898370",20180105001500,"http://naija247news.com/2018/01/04/asian-coal-prices-hit-late-2016-high-amid-huge-shipping-congestion/"
719898344,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",0,40," Consult, not specified below",40,4,1,1,2,1,2,-0.6568144499179,1,"Mexico","MX","MX","",23,-102,"MX",0,"","","","",NA,NA,"",4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",20180105001500,"https://www.bloombergquint.com/global-economics/2018/01/04/trump-steps-up-efforts-to-check-china-influence-in-latin-america"
719898345,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,42," Make a visit",42,4,1,1.9,10,1,10,0.79155672823219,4,"Paris, France (general), France","FR","FR00","16282",48.8667,2.33333,"-1456928",0,"","","","",NA,NA,"",4,"Paris, France (general), France","FR","FR00","16282",48.8667,2.33333,"-1456928",20180105001500,"https://macaudailytimes.com.mo/diplomacy-macron-heading-china-strengthen-economic-ties.html"
719898346,20180105,201801,2018,2018.0137,"CHN","BEIJING","CHN","","","","","","","","","","","","","","","","","",0,43," Host a visit",43,4,1,2.8,10,1,10,0.79155672823219,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",0,"","","","",NA,NA,"",4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",20180105001500,"https://macaudailytimes.com.mo/diplomacy-macron-heading-china-strengthen-economic-ties.html"
719898347,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",0,43," Host a visit",43,4,1,2.8,5,1,5,-3.10679611650485,1,"China","CH","CH","",35,105,"CH",0,"","","","",NA,NA,"",1,"China","CH","CH","",35,105,"CH",20180105001500,"https://www.cnbc.com/2018/01/04/cramer-the-us-china-trade-war-could-explode-in-2018.html"
719898348,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,46," Engage in negotiation",46,4,1,7,2,1,2,-2.39943542695837,4,"Pyongyang, P'yongyang-si, North Korea","KN","KN12","39681",39.0194,125.755,"-183459",0,"","","","",NA,NA,"",4,"Pyongyang, P'yongyang-si, North Korea","KN","KN12","39681",39.0194,125.755,"-183459",20180105001500,"https://kaplanherald.com/2018/01/03/how-2017s-forgotten-flashpoint-might-flare-once-more/"
719898349,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,46," Engage in negotiation",46,4,1,7,8,1,8,-2.39943542695837,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",0,"","","","",NA,NA,"",4,"Pyongyang, P'yongyang-si, North Korea","KN","KN12","39681",39.0194,125.755,"-183459",20180105001500,"https://kaplanherald.com/2018/01/03/how-2017s-forgotten-flashpoint-might-flare-once-more/"
