GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
753911112,20080510,200805,2008,2008.3562,,,,,,,,,,,IRN,TEHRAN,IRN,,,,,,,,0,042, Make a visit,042,04,1,1.9,15,1,8,-1.45,0,,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20180508001500,http://www.xinhuanet.com/english/2018-05/08/c_137162465.htm
753911113,20080510,200805,2008,2008.3562,,,,,,,,,,,IRN,TEHRAN,IRN,,,,,,,,0,042, Make a visit,042,04,1,1.9,1,1,1,-1.45,0,,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20180508001500,http://www.xinhuanet.com/english/2018-05/08/c_137162465.htm
753911114,20080510,200805,2008,2008.3562,IRN,TEHRAN,IRN,,,,,,,,,,,,,,,,,,0,043, Host a visit,043,04,1,2.8,12,1,8,-1.45,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,0,,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20180508001500,http://www.xinhuanet.com/english/2018-05/08/c_137162465.htm
753911115,20080510,200805,2008,2008.3562,IRN,TEHRAN,IRN,,,,,,,,,,,,,,,,,,0,043, Host a visit,043,04,1,2.8,1,1,1,-1.45,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20180508001500,http://www.xinhuanet.com/english/2018-05/08/c_137162465.htm
753911116,20080510,200805,2008,2008.3562,IRN,TEHRAN,IRN,,,,,,,,,,,,,,,,,,0,043, Host a visit,043,04,1,2.8,3,1,3,-1.45,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20180508001500,http://www.xinhuanet.com/english/2018-05/08/c_137162465.htm
753911117,20170508,201705,2017,2017.3507,,,,,,,,,,,IGOEUREEC,THE EUROPEAN UNION,EUR,EEC,,,,IGO,,,1,036, Express intent to meet or negotiate,036,03,1,4.0,5,1,5,-0.77720207253886,0,,,,,,,,4,"Yorkshire, North Yorkshire, United Kingdom",UK,UKJ7,40123,54.0,-1.5,-2612324,4,"Yorkshire, North Yorkshire, United Kingdom",UK,UKJ7,40123,54.0,-1.5,-2612324,20180508001500,https://www.yorkshirepost.co.uk/news/opinion/the-yorkshire-post-says-farming-faces-brexit-battles-opportunities-and-challenges-ahead-1-9153320
753911118,20170508,201705,2017,2017.3507,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,043, Host a visit,043,04,1,2.8,2,1,2,-0.30674846625767,0,,,,,,,,3,"High Plains, Kansas, United States",US,USKS,,39.4167,-101.292,480171,2,"Missouri, United States",US,USMO,,38.4623,-92.302,MO,20180508001500,http://www.hpj.com/markets/high-plains-slaughter-cattle-sales-report/article_aac8a55d-9b4b-551f-8c20-a8f82c304b57.html
753911119,20170508,201705,2017,2017.3507,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,112," Accuse, not specified below",112,11,3,-2.0,2,1,2,-8.48806366047746,0,,,,,,,,3,"Seminole County, Florida, United States",US,USFL,,28.7086,-81.2081,303665,3,"Seminole County, Florida, United States",US,USFL,,28.7086,-81.2081,303665,20180508001500,http://www.wicz.com/story/38131998/george-zimmerman-accused-of-criminal-stalking-in-florida
753911120,20170508,201705,2017,2017.3507,DEU,GERMANY,DEU,,,,,,,,IGOEUREEC,THE EU,EUR,EEC,,,,IGO,,,0,063, Engage in judicial cooperation,063,06,2,7.4,5,1,5,-6.904487917146139,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,20180508001500,https://www.irishexaminer.com/breakingnews/views/analysis/germanys-difficulty-deporting-refugee-exposes-system-flaws-841450.html
753911121,20170508,201705,2017,2017.3507,GOV,PRESIDENT,,,,,,GOV,,,GTM,GUATEMALA,GTM,,,,,,,,0,042, Make a visit,042,04,1,1.9,2,1,2,2.71186440677966,1,United States,US,US,,39.828175,-98.5795,US,4,"Guatemala City, Guatemala, Guatemala",GT,GT07,64850,14.6211,-90.5269,-1133206,1,United States,US,US,,39.828175,-98.5795,US,20180508001500,https://www.aninews.in/news/world/us/india-guatemala-sign-mou-to-cooperate-in-diplomatic-training201805080511560002/
