"GlobalEventID","dateEvent","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","dateDocument","SOURCEURL","river"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253611964,"2013-04-05",201304,2013,2013.2603,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,10,1,10,1.20898100172712,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-05","http://www.dailymail.co.uk/news/article-2304476/Pigs-CANT-fly-Qantas-pork-alcohol-menu-European-routes-deal-Emirates.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490","fly"
253615612,"2013-04-05",201304,2013,2013.2603,"CHNMED","CHINA","CHN",NA,NA,NA,NA,"MED",NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,"014","014","01",1,0,4,1,4,1.93452380952381,2,"New York, United States","US","USNY",42.1497,-74.9384,"NY",2,"New York, United States","US","USNY",42.1497,-74.9384,"NY",2,"New York, United States","US","USNY",42.1497,-74.9384,"NY","2013-04-05","http://www.guardian.co.uk/commentisfree/2013/apr/05/china-drones-mekong-naw-kham","mekong"
253619200,"2013-04-05",201304,2013,2013.2603,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,10,1,10,1.20898100172712,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-05","http://www.dailymail.co.uk/news/article-2304476/Pigs-CANT-fly-Qantas-pork-alcohol-menu-European-routes-deal-Emirates.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490","fly"
253624941,"2013-04-05",201304,2013,2013.2603,"IRN","IRANIAN","IRN",NA,NA,NA,NA,NA,NA,NA,"JORGOV","JORDAN","JOR",NA,NA,NA,NA,"GOV",NA,NA,1,"040","040","04",1,1,2,1,2,2.38095238095238,1,"Iran","IR","IR",32,53,"IR",1,"Jordan","JO","JO",31,36,"JO",1,"Iran","IR","IR",32,53,"IR","2013-04-05","http://www.irna.ir/en/News/80601161/All_News/First_vice_president_congratulates_appointment_of_Jordan_premier","jordan"
253624942,"2013-04-05",201304,2013,2013.2603,"IRN","IRANIAN","IRN",NA,NA,NA,NA,NA,NA,NA,"JORGOV","JORDAN","JOR",NA,NA,NA,NA,"GOV",NA,NA,1,"040","040","04",1,1,2,1,2,2.38095238095238,1,"Iran","IR","IR",32,53,"IR",1,"Jordan","JO","JO",31,36,"JO",1,"Jordan","JO","JO",31,36,"JO","2013-04-05","http://www.irna.ir/en/News/80601161/All_News/First_vice_president_congratulates_appointment_of_Jordan_premier","jordan"
253625135,"2013-04-05",201304,2013,2013.2603,"IRNGOV","IRANIAN","IRN",NA,NA,NA,NA,"GOV",NA,NA,"JORGOV","JORDAN","JOR",NA,NA,NA,NA,"GOV",NA,NA,1,"040","040","04",1,1,6,1,6,2.38095238095238,1,"Iran","IR","IR",32,53,"IR",1,"Jordan","JO","JO",31,36,"JO",1,"Iran","IR","IR",32,53,"IR","2013-04-05","http://www.irna.ir/en/News/80601161/All_News/First_vice_president_congratulates_appointment_of_Jordan_premier","jordan"
253626355,"2013-04-05",201304,2013,2013.2603,"JORGOV","JORDAN","JOR",NA,NA,NA,NA,"GOV",NA,NA,"IRN","IRANIAN","IRN",NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,2.38095238095238,1,"Jordan","JO","JO",31,36,"JO",1,"Iran","IR","IR",32,53,"IR",1,"Iran","IR","IR",32,53,"IR","2013-04-05","http://www.irna.ir/en/News/80601161/All_News/First_vice_president_congratulates_appointment_of_Jordan_premier","jordan"
253626356,"2013-04-05",201304,2013,2013.2603,"JORGOV","JORDAN","JOR",NA,NA,NA,NA,"GOV",NA,NA,"IRN","IRANIAN","IRN",NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,2.38095238095238,1,"Jordan","JO","JO",31,36,"JO",1,"Iran","IR","IR",32,53,"IR",1,"Jordan","JO","JO",31,36,"JO","2013-04-05","http://www.irna.ir/en/News/80601161/All_News/First_vice_president_congratulates_appointment_of_Jordan_premier","jordan"
253626357,"2013-04-05",201304,2013,2013.2603,"JORGOV","JORDAN","JOR",NA,NA,NA,NA,"GOV",NA,NA,"IRNGOV","IRANIAN","IRN",NA,NA,NA,NA,"GOV",NA,NA,1,"040","040","04",1,1,6,1,6,2.38095238095238,1,"Jordan","JO","JO",31,36,"JO",1,"Iran","IR","IR",32,53,"IR",1,"Iran","IR","IR",32,53,"IR","2013-04-05","http://www.irna.ir/en/News/80601161/All_News/First_vice_president_congratulates_appointment_of_Jordan_premier","jordan"
